"","StateFIPS","panel","id","age","ageyng","numkids","black","metro","Y0","Q0","less_hs","hs","some_coll","coll","SOI","Q","year","EMP","EARN","AFDC","FS","fips","unemp","cpi","chcare","amt_fam1","amt_fam2","amt_for1","amt_rel1","amt_rel2","amt_nan1","amt_nan2","usecare","paid_cc","ccuniv1","ccuniv2"
"1",11,1993,112366611101,45,10,2,0,"Residual",1993,1,FALSE,TRUE,FALSE,FALSE,9,1,1993,TRUE,5966.00280504909,FALSE,NA,11.0000000000003,8.6,0.84478672985782,0,NA,NA,NA,NA,0,NA,NA,TRUE,0,0,1
"2",11,1993,112366611101,45,10,2,0,"Residual",1993,1,FALSE,TRUE,FALSE,FALSE,9,2,1993,NA,NA,NA,NA,11.0000000000003,8.4,0.853080568720379,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",11,1993,112366611101,45,10,2,0,"Residual",1993,1,FALSE,TRUE,FALSE,FALSE,9,3,1993,TRUE,5891.63434903047,FALSE,FALSE,11.0000000000003,8.4,0.855450236966825,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",11,1993,112366611101,45,10,2,0,"Residual",1993,1,FALSE,TRUE,FALSE,FALSE,9,4,1993,TRUE,6117.1173644475,FALSE,FALSE,11.0000000000003,8.3,0.863151658767772,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",11,1993,112366611101,45,10,2,0,"Residual",1993,1,FALSE,TRUE,FALSE,FALSE,9,1,1994,TRUE,6096.19699042408,FALSE,FALSE,11.0000000000003,8.3,0.866113744075829,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",11,1993,112366611101,45,10,2,0,"Residual",1993,1,FALSE,TRUE,FALSE,FALSE,9,2,1994,NA,NA,NA,NA,11.0000000000003,8.1,0.873222748815166,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",11,1993,112366611101,45,10,2,0,"Residual",1993,1,FALSE,TRUE,FALSE,FALSE,9,3,1994,TRUE,2661.67115902965,FALSE,FALSE,11.0000000000003,7.8,0.87914691943128,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",11,1993,112366611101,45,10,2,0,"Residual",1993,1,FALSE,TRUE,FALSE,FALSE,9,4,1994,TRUE,6435.85284280936,FALSE,FALSE,11.0000000000003,7.7,0.885663507109005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",11,1993,112366611101,45,10,2,0,"Residual",1993,1,FALSE,TRUE,FALSE,FALSE,9,1,1995,TRUE,6401.59680638722,FALSE,FALSE,11.0000000000003,7.9,0.890402843601896,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",11,1993,112366611101,45,10,2,0,"Residual",1993,1,FALSE,TRUE,FALSE,FALSE,9,2,1995,NA,NA,NA,NA,11.0000000000003,8.5,0.899881516587678,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11",11,1993,112366611101,45,10,2,0,"Residual",1993,1,FALSE,TRUE,FALSE,FALSE,9,3,1995,FALSE,NA,FALSE,FALSE,11.0000000000003,8.9,0.903436018957346,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",11,1993,112366611101,45,10,2,0,"Residual",1993,1,FALSE,TRUE,FALSE,FALSE,9,4,1995,FALSE,NA,FALSE,FALSE,11.0000000000003,8.8,0.910545023696682,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13",35,1993,298691811102,20,0,1,0,"Residual",1993,1,TRUE,FALSE,FALSE,FALSE,32,1,1993,FALSE,NA,FALSE,NA,35.0000000000003,7.3,0.84478672985782,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14",35,1993,298691811102,20,0,1,0,"Residual",1993,1,TRUE,FALSE,FALSE,FALSE,32,2,1993,NA,NA,NA,NA,35.0000000000003,7.5,0.853080568720379,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15",35,1993,298691811102,20,0,1,0,"Residual",1993,1,TRUE,FALSE,FALSE,FALSE,32,3,1993,FALSE,NA,FALSE,FALSE,35.0000000000003,7.4,0.855450236966825,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",35,1993,298691811102,20,0,1,0,"Residual",1993,1,TRUE,FALSE,FALSE,FALSE,32,4,1993,NA,NA,NA,NA,35.0000000000003,7.1,0.863151658767772,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",35,1993,298691811102,20,0,1,0,"Residual",1993,1,TRUE,FALSE,FALSE,FALSE,32,1,1994,FALSE,NA,FALSE,FALSE,35.0000000000003,6.7,0.866113744075829,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18",35,1993,298691811102,20,0,1,0,"Residual",1993,1,TRUE,FALSE,FALSE,FALSE,32,2,1994,NA,NA,NA,NA,35.0000000000003,6.5,0.873222748815166,0,NA,NA,NA,0,NA,NA,NA,TRUE,0,1,0
"19",35,1993,298691811102,20,0,1,0,"Residual",1993,1,TRUE,FALSE,FALSE,FALSE,32,3,1994,TRUE,1699.37466307278,FALSE,FALSE,35.0000000000003,6.5,0.87914691943128,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20",35,1993,298691811102,20,0,1,0,"Residual",1993,1,TRUE,FALSE,FALSE,FALSE,32,4,1994,NA,NA,NA,NA,35.0000000000003,6.5,0.885663507109005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21",35,1993,298691811102,20,0,1,0,"Residual",1993,1,TRUE,FALSE,FALSE,FALSE,32,1,1995,FALSE,NA,FALSE,FALSE,35.0000000000003,6.3,0.890402843601896,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22",35,1993,298691811102,20,0,1,0,"Residual",1993,1,TRUE,FALSE,FALSE,FALSE,32,2,1995,TRUE,760.100065832784,FALSE,FALSE,35.0000000000003,6.3,0.899881516587678,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23",35,1993,298691811102,20,0,1,0,"Residual",1993,1,TRUE,FALSE,FALSE,FALSE,32,3,1995,FALSE,NA,FALSE,FALSE,35.0000000000003,6.6,0.903436018957346,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24",35,1993,298691811102,20,0,1,0,"Residual",1993,1,TRUE,FALSE,FALSE,FALSE,32,4,1995,NA,NA,NA,NA,35.0000000000003,7,0.910545023696682,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25",17,1993,536909811101,25,2,1,0,"Metro",1993,1,FALSE,FALSE,TRUE,FALSE,14,1,1993,FALSE,NA,TRUE,NA,17.0000000000003,7.5,0.84478672985782,0,NA,NA,0,NA,NA,NA,NA,TRUE,0,1,0
"26",17,1993,536909811101,25,2,1,0,"Metro",1993,1,FALSE,FALSE,TRUE,FALSE,14,2,1993,FALSE,NA,TRUE,TRUE,17.0000000000003,7.8,0.853080568720379,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27",17,1993,536909811101,25,2,1,0,"Metro",1993,1,FALSE,FALSE,TRUE,FALSE,14,3,1993,NA,NA,NA,NA,17.0000000000003,7.7,0.855450236966825,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28",17,1993,536909811101,25,2,1,0,"Metro",1993,1,FALSE,FALSE,TRUE,FALSE,14,4,1993,FALSE,NA,TRUE,TRUE,17.0000000000003,7.2,0.863151658767772,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29",17,1993,536909811101,25,2,1,0,"Metro",1993,1,FALSE,FALSE,TRUE,FALSE,14,1,1994,FALSE,NA,TRUE,TRUE,17.0000000000003,6.6,0.866113744075829,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30",17,1993,536909811101,25,2,1,0,"Metro",1993,1,FALSE,FALSE,TRUE,FALSE,14,2,1994,FALSE,NA,TRUE,TRUE,17.0000000000003,6.1,0.873222748815166,206.132971506106,45,NA,NA,NA,NA,NA,NA,TRUE,1,1,0
"31",17,1993,536909811101,25,2,1,0,"Metro",1993,1,FALSE,FALSE,TRUE,FALSE,14,3,1994,NA,NA,NA,NA,17.0000000000003,5.7,0.87914691943128,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32",17,1993,536909811101,25,2,1,0,"Metro",1993,1,FALSE,FALSE,TRUE,FALSE,14,4,1994,FALSE,NA,TRUE,TRUE,17.0000000000003,5.4,0.885663507109005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33",17,1993,536909811101,25,2,1,0,"Metro",1993,1,FALSE,FALSE,TRUE,FALSE,14,1,1995,FALSE,NA,TRUE,TRUE,17.0000000000003,5.1,0.890402843601896,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34",17,1993,536909811101,25,2,1,0,"Metro",1993,1,FALSE,FALSE,TRUE,FALSE,14,2,1995,FALSE,NA,TRUE,TRUE,17.0000000000003,5.2,0.899881516587678,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35",17,1993,536909811101,25,2,1,0,"Metro",1993,1,FALSE,FALSE,TRUE,FALSE,14,3,1995,NA,NA,NA,NA,17.0000000000003,5.2,0.903436018957346,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36",17,1993,536909811101,25,2,1,0,"Metro",1993,1,FALSE,FALSE,TRUE,FALSE,14,4,1995,FALSE,NA,TRUE,TRUE,17.0000000000003,5.3,0.910545023696682,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37",32,1992,565111911101,21,2,2,0,"Metro",1992,1,TRUE,FALSE,FALSE,FALSE,29,1,1992,FALSE,NA,FALSE,NA,32.0000000000003,6.5,0.818127962085308,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38",32,1992,565111911101,21,2,2,0,"Metro",1992,1,TRUE,FALSE,FALSE,FALSE,29,2,1992,TRUE,2769.77204301075,FALSE,TRUE,32.0000000000003,6.8,0.826421800947867,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39",32,1992,565111911101,21,2,2,0,"Metro",1992,1,TRUE,FALSE,FALSE,FALSE,29,3,1992,NA,NA,NA,NA,32.0000000000003,6.9,0.832345971563981,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40",32,1992,565111911101,21,2,2,0,"Metro",1992,1,TRUE,FALSE,FALSE,FALSE,29,4,1992,TRUE,2399.86459802539,FALSE,TRUE,32.0000000000003,6.9,0.840047393364929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
