source,arm,app_status,est_sample,F
SIPP,0,0,true,0.42906504183638733
FTP,0,0.0,true,0.3326115512466741
FTP,0,1.0,true,0.36319061602920566
CTJF,1,0.0,true,0.3512479304182326
FTP,1,0.0,true,0.3399055617590184
MFIP,0,3.0,true,0.4060335530642949
MFIP,0,2.0,true,0.3937596271647242
MFIP,0,1.0,true,0.4560808468861867
CTJF,0,0.0,true,0.37585773837672476
CTJF,0,1.0,true,0.40294222611028685
CTJF,1,1.0,true,0.37738849997068846
MFIP,2,1.0,true,0.4606547050822307
MFIP,2,2.0,true,0.36845572926785464
MFIP,2,3.0,true,0.4086054765060369
MFIP,2,1.0,false,0.4572353904703846
MFIP,1,3.0,true,0.39030801025039735
MFIP,1,1.0,true,0.44784924641938484
MFIP,1,2.0,true,0.3641238809809132
MFIP,1,1.0,false,0.45851886134639214
FTP,1,1.0,true,0.366992282989726
CTJF,1,1.0,false,0.4012233340589705
