source,variable,year,Q,value,case,sd,q25,q75
CTJF,Emp,1996,2,0.018101857664682235,Treatment,0.0015310937281646797,0.017213313314436277,0.019933556399015104
CTJF,Emp,1996,3,0.039903302504677066,Treatment,0.0028309586924663258,0.03915068719378796,0.044492640080131776
CTJF,Emp,1997,0,0.0541681552906641,Treatment,0.0037656541214004633,0.053359528977628704,0.060498481458540615
CTJF,Emp,1997,1,0.06330739354147775,Treatment,0.004483972276128019,0.062376053736388305,0.07079289005833174
CTJF,Emp,1997,2,0.06938463501380923,Treatment,0.005007902710624916,0.06820237634943392,0.07750275887523916
CTJF,Emp,1997,3,0.07308522269204909,Treatment,0.005258472765407601,0.07210350458908543,0.08167878435685948
CTJF,Emp,1998,0,0.07558217370360489,Treatment,0.005490553215109449,0.07465186515764549,0.08449161298312327
CTJF,Emp,1998,1,0.07712529015095489,Treatment,0.005670483641948984,0.07628000427175054,0.08628601114774237
CTJF,Emp,1998,2,0.08116967338590478,Treatment,0.006379865504426685,0.08037167125347928,0.09126444155112325
CTJF,Emp,1998,3,0.08014544370247122,Treatment,0.006371831542258736,0.07954629537386652,0.09021461732008261
CTJF,Emp,1999,0,0.07778015822434285,Treatment,0.006265928603074231,0.07732093852492494,0.08766166023821757
CTJF,Emp,1999,1,0.07472668416202237,Treatment,0.00607273096612096,0.07420036498189105,0.08427561941409635
CTJF,Emp,1999,2,0.07145700448025487,Treatment,0.005858727784946866,0.07082835978784213,0.08062779259324149
CTJF,Emp,1999,3,0.06799057566371125,Treatment,0.005611912370817261,0.06724735546347592,0.07674713587511577
CTJF,Emp,2000,0,0.06459889840276271,Treatment,0.005363819726044236,0.06377789671006281,0.07292971179063226
CTJF,Emp,2000,1,0.06141600129871951,Treatment,0.00511537797414281,0.06053385157162888,0.06932746840786141
CTJF,Emp,2000,2,0.05854094782163425,Treatment,0.004919147268671542,0.057632412442502966,0.06613964379191091
CTJF,Emp,2000,3,0.05589022059540214,Treatment,0.004713612667485914,0.05489501864720269,0.06310754041790463
CTJF,Emp,2001,0,0.05342990344561829,Treatment,0.004632624237948138,0.052235511807930894,0.06037109317898483
CTJF,AFDC,1996,2,0.02083174594259105,Treatment,0.0019052604346087704,0.018864826669841017,0.022309942257882732
CTJF,AFDC,1996,3,0.03752867961982157,Treatment,0.0030460910937746377,0.033589748260994215,0.03931350652493028
CTJF,AFDC,1997,0,0.05231482585272724,Treatment,0.004278276088754028,0.04598278847557537,0.054071884811944734
CTJF,AFDC,1997,1,0.06365868353413978,Treatment,0.004397759012386678,0.0566351828066797,0.06498772004946005
