var,value,dist,source
Wage Shock,1,0.5194355913420949,Experiments
Wage Shock,2,0.13927527878365803,Experiments
Wage Shock,3,0.1020947651748812,Experiments
Wage Shock,4,0.18538928333352744,Experiments
Wage Shock,5,0.0538050813658597,Experiments
Wage Shock,1,0.4299260775521148,SIPP
Wage Shock,2,0.01062944572168551,SIPP
Wage Shock,3,0.031707908634632055,SIPP
Wage Shock,4,0.13657383878742008,SIPP
Wage Shock,5,0.391162729304169,SIPP
Type,1,0.2734299203728614,Experiments
Type,2,0.16542527483919528,Experiments
Type,3,0.2281127838181413,Experiments
Type,4,0.18583724195491896,Experiments
Type,5,0.14719477901490605,Experiments
Type,1,0.10318000728125647,SIPP
Type,2,0.1203765656322793,SIPP
Type,3,0.1335280147147114,SIPP
Type,4,0.24893955082768013,SIPP
Type,5,0.3939758615440983,SIPP
