source,arm,app_status,est_sample,year,Q,EMP,AFDC,EARN,LOGFULL
SIPP,0,0,true,1993,1,0.6106587958354819,0.30807276133610423,725.0776568581089,7.346427606117674
SIPP,0,0,true,1993,2,0.6210460918064737,0.313084559003615,745.8320255224331,7.345098018351695
SIPP,0,0,true,1994,0,0.6348509540829803,0.33552124003119466,771.2971227743066,7.375453353014391
SIPP,0,0,true,1994,1,0.6505782302649035,0.2947790737519173,794.2339930869323,7.372299356269619
SIPP,0,0,true,1994,2,0.6702284250761256,0.31129724516545965,823.3838166641281,7.377945115571922
SIPP,0,0,true,1995,0,0.6659604235438132,0.3270280118027336,871.2181874209341,7.42890614395364
SIPP,0,0,true,1995,1,0.6792004650101152,0.2749342818593169,892.161652098745,7.420092843921518
SIPP,0,0,true,1995,2,0.679492120915764,0.2813984902530485,905.3755564361853,7.414107753360225
FTP,0,0.0,true,1994,2,0.31142014520368055,0.8117136434908001,92.63519480038214,7.1891561121077014
FTP,0,0.0,true,1994,3,0.3336557892722649,0.8067933254589109,128.10085708459528,7.195773276230943
FTP,0,0.0,true,1995,0,0.36559677584476763,0.7731602794940617,164.21569210874873,7.209019939617856
FTP,0,0.0,true,1995,1,0.3845296005504428,0.722023724763962,203.84285282770813,7.2203319139861915
FTP,0,0.0,true,1995,2,0.3928182898314619,0.679734919303184,218.76528710805286,7.219318885743706
FTP,0,0.0,true,1995,3,0.4217544246581174,0.6424877237925488,238.42004797428908,7.227787113339072
FTP,0,0.0,true,1996,0,0.46789321753932656,0.6071907254576059,271.4187328967654,7.234255442563429
FTP,0,0.0,true,1996,1,0.4988149542970669,0.5685934276251531,315.7769375095464,7.258282414140642
FTP,0,0.0,true,1996,2,0.517492699916977,0.5245649883048781,333.48727284335376,7.256613336794047
FTP,0,0.0,true,1996,3,0.5267994540895165,0.48996365642964523,356.46108704942577,7.252341852653177
FTP,0,0.0,true,1997,0,0.5416721291702435,0.4574335045444706,358.0327960386493,7.240745190685975
FTP,0,0.0,true,1997,1,0.5459114557540626,0.43722461958372805,368.9390375383239,7.243003241887399
FTP,0,0.0,true,1997,2,0.5474923178143266,0.4063869951475902,379.0784494020963,7.231207868887616
FTP,0,0.0,true,1997,3,0.5596581497366662,0.3585274101668661,391.5085084155588,7.239256243885643
FTP,0,0.0,true,1998,0,0.5678667393334778,0.3398967486480559,410.71313084874447,7.254859363606407
FTP,0,0.0,true,1998,1,0.5737861050595215,0.30244865164247436,426.93064846049117,7.258588272746069
FTP,0,0.0,true,1998,2,0.5862219258271577,0.2913810281108736,437.01864293284905,7.263433467898622
FTP,0,0.0,true,1998,3,0.5835013115477837,0.27729133328960043,441.33002694038714,7.257400653676109
FTP,0,0.0,true,1999,0,0.58831243609878,0.27067149861856166,448.5383834948516,7.272829878654513
FTP,0,1.0,true,1994,2,0.5036021447705522,0.5747484928516983,238.84719899741216,7.170282321313657
FTP,0,1.0,true,1994,3,0.5286323695088033,0.5661973975238824,298.7147191100742,7.21433341394315
FTP,0,1.0,true,1995,0,0.5271536499476448,0.5996530380891232,316.6835970823627,7.213335616347456
FTP,0,1.0,true,1995,1,0.521510677748612,0.5366970376916372,317.1046630299163,7.183493751572453
FTP,0,1.0,true,1995,2,0.5202725829300859,0.46551651971383284,325.7734068229856,7.177002471281288
FTP,0,1.0,true,1995,3,0.5062713316598606,0.46600756252673464,321.1975895604437,7.174107212983401
FTP,0,1.0,true,1996,0,0.47917290223666165,0.44051529393265737,294.4869299116291,7.147850494571711
FTP,0,1.0,true,1996,1,0.48487094382729595,0.40553676739278705,302.48482543456623,7.142391165424445
FTP,0,1.0,true,1996,2,0.48089517093339135,0.37676005062531104,316.426898735024,7.143657203352751
FTP,0,1.0,true,1996,3,0.46656377955735956,0.339312857829116,319.8008807759099,7.145124844798646
FTP,0,1.0,true,1997,0,0.47938607002932937,0.32865852039912513,340.87642733747384,7.136652504262114
FTP,0,1.0,true,1997,1,0.49160237951694524,0.31999911849243506,350.8777141239725,7.135797753819623
FTP,0,1.0,true,1997,2,0.5019954102124795,0.29103971408517143,374.997017418089,7.158406934397348
FTP,0,1.0,true,1997,3,0.5056999655482833,0.28186765093854327,393.8492582276599,7.165231454288689
FTP,0,1.0,true,1998,0,0.5219093193366545,0.251313365254349,412.7228880942074,7.172429084762983
FTP,0,1.0,true,1998,1,0.5118524607766943,0.23837017020833293,418.73201096820276,7.168308164698738
FTP,0,1.0,true,1998,2,0.5261579204386627,0.22896488574841906,420.13063143968174,7.1627797316831625
FTP,0,1.0,true,1998,3,0.5372236733662135,0.2245039817938049,443.035712204136,7.192479584888646
FTP,0,1.0,true,1999,0,0.5301080138316108,0.2118395269467133,453.24411515527476,7.19261362402404
FTP,0,1.0,true,1999,1,0.5446109499017391,0.1789189650825865,449.52519781130917,7.186532932921513
FTP,0,0.0,true,1999,1,0.5915968768859461,0.2948341465643575,422.7405808840617,7.258681640838236
CTJF,1,0.0,true,1996,2,0.4274192786834437,0.9393270622663997,205.71709027919576,7.476752310457609
CTJF,1,0.0,true,1996,3,0.4786389898521572,0.9324207212223294,250.84776693434918,7.486866928744935
CTJF,1,0.0,true,1997,0,0.5163229406640721,0.9059998137893793,293.25393324910357,7.49716181911948
CTJF,1,0.0,true,1997,1,0.5515929016365334,0.8834379205136627,330.4465746052526,7.501016345705177
CTJF,1,0.0,true,1997,2,0.5842072292503316,0.8603305654903808,378.0863907296166,7.511096637222758
CTJF,1,0.0,true,1997,3,0.6019549846505011,0.8256452970397947,433.65431640168055,7.525235456252181
CTJF,1,0.0,true,1998,0,0.6016798747862898,0.7942658561182648,462.40848027160973,7.533238754863615
CTJF,1,0.0,true,1998,1,0.6176310680285128,0.755717509706455,488.96746294328466,7.53356339135835
CTJF,1,0.0,true,1998,2,0.647088237286757,0.7043064351394143,540.3736613777224,7.48777878536863
CTJF,1,0.0,true,1998,3,0.6479526798169352,0.5504369370906012,555.5499406196707,7.485983382661753
CTJF,1,0.0,true,1999,0,0.648038413014183,0.5333667852594117,576.7137051120764,7.461978936928839
CTJF,1,0.0,true,1999,1,0.6593655018204551,0.4650311297412647,609.727178933472,7.465185389169582
CTJF,1,0.0,true,1999,2,0.670092550106559,0.4190817030752209,633.3245427342877,7.463379997753721
CTJF,1,0.0,true,1999,3,0.6749144596219377,0.378249527202741,650.2060428737312,7.456840957268447
CTJF,1,0.0,true,2000,0,0.6825422428398843,0.362442867912053,664.4463271523705,7.459538443878965
CTJF,1,0.0,true,2000,1,0.6823480600958137,0.3484884342774114,674.659558555209,7.455539059632866
CTJF,1,0.0,true,2000,2,0.6899229809848805,0.33926738158118597,674.7234078116322,7.4305624778328685
CTJF,1,0.0,true,2000,3,0.698585014342594,0.3143279255886176,716.8432628796966,7.437359268624945
CTJF,1,0.0,true,2001,0,0.7115162610563063,0.25316985305517586,743.9989405463402,7.43392544533056
SIPP,0,0,true,1992,2,0.5848544780942915,0.29812795647127466,667.032152186766,7.295281367807243
SIPP,0,0,true,1992,3,0.6215635678734301,0.32712725880854787,665.8467394437106,7.295748606526542
SIPP,0,0,true,1993,0,0.6002825396700184,0.3378749201604408,685.4953361123432,7.3067935465807645
SIPP,0,0,true,1993,3,0.6554854110947891,0.33730201565641377,763.6815697350002,7.362415030151678
SIPP,0,0,true,1992,1,0.5826371726201154,0.3255390624316667,682.0405663402033,7.3084678082060455
SIPP,0,0,true,1994,3,0.677246268080113,0.30707786156022626,853.5620403430173,7.389956115085136
FTP,1,0.0,true,1994,2,0.34139722253850496,0.8267823031694364,136.7291682442567,7.205121785652994
FTP,1,0.0,true,1994,3,0.39858704439690784,0.8203274567006699,182.1740267227466,7.207789086399358
FTP,1,0.0,true,1995,0,0.4595760672610187,0.7943814632448725,244.00992243233858,7.2436886262045785
FTP,1,0.0,true,1995,1,0.4868862779693794,0.736044444779496,276.93888258877206,7.245224487207162
FTP,1,0.0,true,1995,2,0.5087896640367097,0.6959884468016206,293.2301465448951,7.240566134814039
FTP,1,0.0,true,1995,3,0.5373222722229486,0.6526632884220772,333.2433980704869,7.249422611786422
FTP,1,0.0,true,1996,0,0.5949337191312959,0.5947727559068295,366.8277194022108,7.2637246613502064
FTP,1,0.0,true,1996,1,0.6232413015061252,0.5543810378262484,409.4907999960899,7.275023084072563
FTP,1,0.0,true,1996,2,0.6507748856441619,0.4970106628530594,435.9879524323216,7.291948884743133
FTP,1,0.0,true,1996,3,0.6496102333927832,0.4498755546543255,456.62358207018315,7.294414313729449
FTP,1,0.0,true,1997,0,0.6473823787600199,0.4027539879651986,460.65356837334303,7.286708936536203
FTP,1,0.0,true,1997,1,0.645986069243397,0.36674163734285353,459.51708313376986,7.28471359111569
FTP,1,0.0,true,1997,2,0.6553243187246947,0.34612198267331457,474.92665332190563,7.281940411658857
FTP,1,0.0,true,1997,3,0.6511391724921766,0.2843407171827116,496.2829022407513,7.293434136664822
FTP,1,0.0,true,1998,0,0.6264872701607326,0.21480905219606936,483.75375457803983,7.283877044435102
FTP,1,0.0,true,1998,1,0.6135967240933018,0.20779887138322423,479.1864612537348,7.274210804105043
FTP,1,0.0,true,1998,2,0.6130030520190827,0.20410380642779663,489.23974767003716,7.286520704031762
FTP,1,0.0,true,1998,3,0.6028474815257184,0.19273110377561467,484.64198240327255,7.2726728486110925
FTP,1,0.0,true,1999,0,0.5995841702579019,0.20430750699269967,470.7272223342283,7.249517584873665
MFIP,0,3.0,true,1994,2,0.28679630765621844,0.9392407249584496,108.43564659459496,7.417060283289481
MFIP,0,3.0,true,1994,3,0.2967020384664917,0.9287683658985156,168.24959899728296,7.425833591228511
MFIP,0,3.0,true,1995,0,0.299385622627896,0.8954447075228532,219.45936618369979,7.446498886765385
MFIP,0,3.0,true,1995,1,0.31109247512760496,0.8471699403296997,244.3903307443917,7.440871748799112
MFIP,0,3.0,true,1995,2,0.3498548893873675,0.8193010676672756,276.52804820940145,7.423382158594747
MFIP,0,3.0,true,1995,3,0.388535766097905,0.7792707016259226,306.9865826879748,7.421857811825489
MFIP,0,3.0,true,1996,0,0.41809213450096405,0.7467370744416603,363.7395761621178,7.43134238266895
MFIP,0,3.0,true,1996,1,0.44361029300073684,0.7020166099802493,392.650774004464,7.418814024069743
MFIP,0,3.0,true,1996,2,0.4695943887612951,0.6635376009853718,433.4017556697271,7.4369969225199934
MFIP,0,3.0,true,1996,3,0.4791510841979028,0.6497998008353407,483.9817595743155,7.45394574593889
MFIP,0,3.0,true,1997,0,0.49994258734303004,0.6342124248518254,504.0148961631403,7.448396225119099
MFIP,0,3.0,true,1997,1,0.5214365602266493,0.5988149564210065,529.0530623402854,7.450821162139901
MFIP,0,3.0,true,1997,2,0.539783500088214,0.569288609468612,566.0845222203233,7.4490692610213864
MFIP,0,3.0,true,1997,3,0.553361554318645,0.5644658676884342,597.7305824686962,7.460846213564338
MFIP,0,3.0,true,1998,0,0.5909698358956881,0.5484016279840452,644.1362183105502,7.489840222606302
MFIP,0,3.0,true,1998,1,0.6029006767464117,0.5318097757932491,666.0301341129481,7.45511499944186
MFIP,0,3.0,true,1998,2,0.6076031674174728,0.5168181286520162,680.3115196245888,7.461180613043442
MFIP,0,3.0,true,1998,3,0.5941850607688864,0.5301039754743783,657.8160812611081,7.437557178526799
MFIP,0,2.0,true,1994,2,0.460663858871224,0.80715417329211,304.1509771812236,7.39143809991522
MFIP,0,2.0,true,1994,3,0.5318061204449027,0.794199610304803,360.30532208849246,7.387862496840309
MFIP,0,2.0,true,1995,0,0.5580224111371652,0.7550194158722533,419.2183981497358,7.399440070983126
MFIP,0,2.0,true,1995,1,0.5698960311799189,0.692738897444317,482.75705764900755,7.423589127449517
MFIP,0,2.0,true,1995,2,0.6011316868258182,0.7028531169370692,481.6051221544778,7.376260641676388
MFIP,0,2.0,true,1995,3,0.584712456339929,0.6582322443080854,505.1422660413202,7.4046920401948135
MFIP,0,2.0,true,1996,0,0.5664061896342961,0.625846974993589,530.4065020467712,7.417954075789241
MFIP,0,2.0,true,1996,1,0.5736349331040357,0.612434086687211,505.2759898286161,7.3973992390542795
MFIP,0,2.0,true,1996,2,0.5858728119968646,0.6116378240653287,603.9423790758714,7.453814759152554
MFIP,0,2.0,true,1996,3,0.5995929968036567,0.5233140595445823,634.0893608196507,7.451282235512296
MFIP,0,2.0,true,1997,0,0.5948708610681871,0.5337582591832077,656.5613134488735,7.46591728775395
MFIP,0,2.0,true,1997,1,0.6049760360865467,0.5412795073319182,704.0726690224606,7.469474447143685
MFIP,0,2.0,true,1997,2,0.6656164552608623,0.5204978104448859,748.4476752613455,7.497868807288483
MFIP,0,2.0,true,1997,3,0.650150314056015,0.5044360924175747,772.6769556657285,7.51312883370726
MFIP,0,2.0,true,1998,0,0.6365480716599947,0.5029972407554577,760.3728531763932,7.509335459966351
MFIP,0,2.0,true,1998,1,0.6320541751840847,0.4881061522736278,805.692697630186,7.524143796094367
MFIP,0,2.0,true,1998,2,0.6353966158386835,0.5060350352789597,753.2358620043502,7.4948261647429035
MFIP,0,2.0,true,1998,3,0.6980857099078506,0.44011505301621145,938.546586907049,7.499800460956947
MFIP,0,1.0,true,1994,2,0.555488259828435,0.6196011497614756,410.19546077802306,7.335515555208272
MFIP,0,1.0,true,1994,3,0.5575648132590234,0.6074581774763006,511.93012883900155,7.365001915375248
MFIP,0,1.0,true,1995,0,0.5387019851136444,0.5526561759133527,567.6307721726881,7.36212546554035
MFIP,0,1.0,true,1995,1,0.5432226530647615,0.4828129515863624,616.850028649272,7.401000693239664
MFIP,0,1.0,true,1995,2,0.5600473694668852,0.4694195207276,652.8678202720771,7.375372815564731
MFIP,0,1.0,true,1995,3,0.5792580575801254,0.419245981317808,731.3998726951943,7.4107886279740365
MFIP,0,1.0,true,1996,0,0.6187308274466585,0.406975143439141,750.8918194569786,7.418734270705399
MFIP,0,1.0,true,1996,1,0.621717658622992,0.383534321748475,761.5033427554649,7.420870362932649
MFIP,0,1.0,true,1996,2,0.6383833274856205,0.3782593058429498,791.1646518528734,7.450822026100027
MFIP,0,1.0,true,1996,3,0.6568185724683009,0.35280887996920657,822.9839444250105,7.433852661223538
MFIP,0,1.0,true,1997,0,0.6521767768390448,0.341095010396148,867.0765212986032,7.4693589456446015
MFIP,0,1.0,true,1997,1,0.6693719659722603,0.302666049567597,914.5775997111513,7.461195381751705
MFIP,0,1.0,true,1997,2,0.6982712004032225,0.28397190792899907,963.5327066122036,7.453206965800266
MFIP,0,1.0,true,1997,3,0.7200275615042833,0.275062569548695,1008.6724190913861,7.483952032150724
MFIP,0,1.0,true,1998,0,0.7281473828449904,0.2736917694519616,1025.5746667792112,7.497519307511715
MFIP,0,1.0,true,1998,1,0.7285196004708522,0.22820999757793112,1092.782523062915,7.544845113107658
