source,arm,est_sample,year,Q,EMP,AFDC,EARN,LOGFULL
SIPP,0,true,1993,1,0.7588931106867728,0.247492940447353,908.5562835724248,6.560950289923527
SIPP,0,true,1993,2,0.6900008154710537,0.24610147058169043,831.9809876105004,6.411950307433999
SIPP,0,true,1994,0,0.6742436391006189,0.2417829838601769,837.7708372413089,6.429086129763631
SIPP,0,true,1994,1,0.6832387721641581,0.229067040979744,872.5004278052884,6.451016666336037
SIPP,0,true,1994,2,0.6524215253797427,0.23807969085700598,821.1248014932032,6.368857692548245
SIPP,0,true,1995,0,0.6597475279216697,0.2386943592915893,881.9094145728013,6.444135164167916
SIPP,0,true,1995,1,0.667692023761094,0.22421508553494612,917.0665860545804,6.458832769108061
SIPP,0,true,1995,2,0.6466745505036213,0.23505562625748433,879.8718393460116,6.404445117044085
FTP,0,true,1994,2,0.5325403134918172,0.7515160587290668,205.37994663825853,6.206460130932326
FTP,0,true,1994,3,0.5400871344781036,0.7095973299098817,249.2822224167456,6.210836376489282
FTP,0,true,1995,0,0.5475804082288956,0.6716351583735098,284.0624040927266,6.241382026528063
FTP,0,true,1995,1,0.5498811051081786,0.6375586413720604,312.65917427596315,6.242503487514339
FTP,0,true,1995,2,0.5496453300324792,0.6070414070075387,332.9399950914804,6.230289288138318
FTP,0,true,1995,3,0.5490069666035117,0.5797336246385327,348.43660512859117,6.217289301134519
FTP,0,true,1996,0,0.5501376511201596,0.5551280000672513,361.9400937811373,6.222040491263078
FTP,0,true,1996,1,0.5506989460311141,0.532833400069501,374.5786997678305,6.21182810761492
FTP,0,true,1996,2,0.5515575817823147,0.512467607344584,385.8942229168235,6.198500096944876
FTP,0,true,1996,3,0.5528909845279155,0.49381909834595594,397.6441775518205,6.192584869500886
FTP,0,true,1997,0,0.553800616090304,0.47664133098929623,406.9967188971981,6.187251575441011
FTP,0,true,1997,1,0.5537303831242428,0.4607576709671516,412.2918375654815,6.171202501013039
FTP,0,true,1997,2,0.5555898391383021,0.44595222491448205,422.0558966158226,6.168538863100637
