source,arm,est_sample,year,Q,EMP,AFDC,EARN,LOGFULL
SIPP,0,true,1993,1,0.5371582563873964,0.27226368328919626,632.1415837212535,7.476596990906238
SIPP,0,true,1993,2,0.5380609011065396,0.26020631220399487,636.2526605067573,7.475447016409761
SIPP,0,true,1994,0,0.5408528439589222,0.26415784985696766,642.5264609961946,7.492546071031016
SIPP,0,true,1994,1,0.5405947768725622,0.2601514959410906,647.2350759620163,7.491673963594695
SIPP,0,true,1994,2,0.5406694400888716,0.25287693646374865,648.9246673443284,7.488126133134322
SIPP,0,true,1995,0,0.5441124153038379,0.2579890124628847,675.7317169868473,7.510222127852838
SIPP,0,true,1995,1,0.5438842417932095,0.2470178481092552,675.2489914135045,7.505494339286225
SIPP,0,true,1995,2,0.5437707532321807,0.24619550487713832,688.3386542405633,7.505746574723363
FTP,0,true,1994,2,0.3848081709495376,0.7340609990080199,146.21505927294425,7.2830567940264785
FTP,0,true,1994,3,0.4132355488324295,0.677407629806662,190.57381367650723,7.285204525785813
FTP,0,true,1995,0,0.43830885146647414,0.6275715589225198,227.63178067604164,7.298484984857299
FTP,0,true,1995,1,0.454353150822576,0.5839776581965481,256.85995026268,7.299646384215763
FTP,0,true,1995,2,0.46659273091543924,0.5457311902202117,281.3296437792291,7.298141813552159
FTP,0,true,1995,3,0.47613449435492683,0.512262036911465,301.9701925338618,7.2982248653545945
FTP,0,true,1996,0,0.48475837121440213,0.4826851401256954,319.92658575727705,7.3053769957019545
FTP,0,true,1996,1,0.4903752800066013,0.4562390935866415,334.67132615437345,7.3039810460798025
FTP,0,true,1996,2,0.4946217346365961,0.4323148859566948,347.33267464433106,7.299596685256312
FTP,0,true,1996,3,0.49801165762434,0.41086894406662283,358.1740179065442,7.29727463347798
FTP,0,true,1997,0,0.500743787876329,0.39155299167716884,367.8869439438729,7.2964992647124625
FTP,0,true,1997,1,0.5030400729380765,0.37417807452272905,376.874753519125,7.294078477805661
FTP,0,true,1997,2,0.5044870543136825,0.35860693205253213,384.2715883928412,7.290406480248715
FTP,0,true,1997,3,0.5059276924297744,0.3448352045389621,391.1982982416545,7.288745694920456
FTP,0,true,1998,0,0.5070720571273081,0.3326902686774525,397.5453229931742,7.291632959012388
FTP,0,true,1998,1,0.5080851181030005,0.32199390158680746,403.33720281556646,7.290850859659729
FTP,0,true,1998,2,0.5086536085582205,0.3125102367947039,408.406007428504,7.288168530952554
FTP,0,true,1998,3,0.5094612840127583,0.304222103338881,413.41670457365007,7.286576126653124
FTP,0,true,1999,0,0.5100433861655636,0.2972230813244497,417.9508991884615,7.289974747373266
FTP,0,true,1999,1,0.5122288273947512,0.2816401715962951,437.0036375428165,7.30717149309147
SIPP,0,true,1992,2,0.5354971351661038,0.261804663533504,603.6538777955427,7.459560612922683
SIPP,0,true,1992,3,0.5342818922428488,0.2641722966334395,597.6942903537002,7.458645440699356
SIPP,0,true,1993,0,0.5359737356223376,0.2668070529035622,613.5554309635202,7.470461479218619
SIPP,0,true,1993,3,0.5369333175217429,0.2683489505288612,629.2036023147072,7.476246378488907
SIPP,0,true,1992,1,0.5337314397997419,0.2775812309060867,608.4676143597873,7.458072274962954
SIPP,0,true,1994,3,0.5394143367107253,0.2561580901442592,645.705963115605,7.4843461794017765
FTP,1,true,1994,2,0.38271217407013386,0.7711485616287327,140.50245169368645,7.28941418145843
FTP,1,true,1994,3,0.41208551048857944,0.7188999772652153,185.73623243628276,7.293043087774137
FTP,1,true,1995,0,0.43747186586664594,0.6702855345619092,223.32150476828554,7.306343137387517
FTP,1,true,1995,1,0.45408094763805074,0.624488526086638,253.13521224991936,7.306876595408981
FTP,1,true,1995,2,0.46673212275410875,0.580080839207502,278.07707446555963,7.3035509537901415
FTP,1,true,1995,3,0.4767973578908205,0.5354054741905151,299.1796703405532,7.300488560284414
FTP,1,true,1996,0,0.4858012218163618,0.4871558944603985,317.4892312111898,7.301942462991238
FTP,1,true,1996,1,0.49814459257138105,0.42881221541735803,334.6604300398153,7.292373338964695
FTP,1,true,1996,2,0.5023938060675355,0.3808676953596621,347.5672757923116,7.281009264548089
FTP,1,true,1996,3,0.5057479434577765,0.3416041198000228,358.6262592517501,7.273615641140439
FTP,1,true,1997,0,0.5083731276220965,0.3093478261959005,368.5023235396337,7.269223549569961
FTP,1,true,1997,1,0.5105353997235217,0.28274945521812855,377.62932464231716,7.264251654136628
FTP,1,true,1997,2,0.5119498409877493,0.26081141279438824,385.17816758502636,7.259021530219259
FTP,1,true,1997,3,0.5132552786592384,0.2428321337706515,392.21001871299285,7.256205195353669
FTP,1,true,1998,0,0.5142475344112659,0.2281241447823574,398.6346689611768,7.2583934280707725
FTP,1,true,1998,1,0.5151287717333864,0.2159473790864004,404.5027861551004,7.257194452169301
FTP,1,true,1998,2,0.5156024354157982,0.20579097689011397,409.63686064167075,7.254464215983194
FTP,1,true,1998,3,0.5162971876450431,0.1974609549236079,414.81454447463636,7.253176072046777
FTP,1,true,1999,0,0.5167658500220619,0.19056374081970232,419.5908235387753,7.256625826525209
SIPP,0,true,1995,3,0.5435363361343879,0.24557632818305128,688.9975585033847,7.503388299403283
FTP,1,true,1999,1,0.5189753938517737,0.1871308474885,440.3133374497539,7.277634467143048
