source,arm,est_sample,year,Q,EMP,AFDC,EARN,LOGFULL
SIPP,0,true,1993,1,0.5604330671637374,0.28485213008592364,610.1806719442486,8.673219817509214
SIPP,0,true,1993,2,0.5623918967863277,0.27106114925791147,619.5899128261336,8.672775856328725
SIPP,0,true,1994,0,0.565501907579064,0.27592692203286573,634.2113073426347,8.6810396892026
SIPP,0,true,1994,1,0.5654465536788772,0.27341415846494455,643.3642269436347,8.68171284849391
SIPP,0,true,1994,2,0.5668800481916403,0.2663957512545647,653.8168418259916,8.681469299421417
SIPP,0,true,1995,0,0.5712098606390729,0.27056107494478393,698.3020794507751,8.693906386003416
SIPP,0,true,1995,1,0.5719636485988221,0.2620604347015151,719.6283859639476,8.696258453242773
SIPP,0,true,1995,2,0.5714945393548466,0.26334736404899434,717.3778783719206,8.69346862406874
FTP,0,true,1994,2,0.3852158603417731,0.7498960201872962,135.67096739634738,8.425152978553491
FTP,0,true,1994,3,0.41110709944312585,0.7054874039054074,175.95979766434388,8.42710337888111
FTP,0,true,1995,0,0.4352852542983083,0.664618625776643,212.35401111101996,8.43306355893849
FTP,0,true,1995,1,0.4513498422999398,0.6273111560012237,246.39154673549206,8.435358061999397
FTP,0,true,1995,2,0.4627595194827807,0.5938137889999254,270.50370214726667,8.43571984237062
FTP,0,true,1995,3,0.47161099014264546,0.5641771100414639,288.88049637055883,8.436233177356632
FTP,0,true,1996,0,0.480135716370155,0.5378740299189148,305.06042358669873,8.4392721252407
FTP,0,true,1996,1,0.48586147202880753,0.5141783403875911,321.15505768145925,8.439764708346626
FTP,0,true,1996,2,0.49011248626351106,0.4926661142969881,335.4497756283333,8.439205649548496
FTP,0,true,1996,3,0.49414958884116583,0.4733839663103792,351.64103955713983,8.439974991263824
FTP,0,true,1997,0,0.4972080179199642,0.45615250886466013,363.62141756632354,8.440742035464435
FTP,0,true,1997,1,0.49907078258436594,0.44075768454217823,367.79777177370414,8.439714803996395
FTP,0,true,1997,2,0.5010111842347266,0.426792256567288,381.1346151033961,8.440040163449968
FTP,0,true,1997,3,0.5027859758448366,0.41433006402649714,390.57898190379916,8.440378847680206
FTP,0,true,1998,0,0.5043262827551239,0.4031599397231363,399.58428868908356,8.442333452497149
FTP,0,true,1998,1,0.5056601523621956,0.3930216101937067,408.0731974263824,8.442868452012096
FTP,0,true,1998,2,0.5066845535896456,0.383643133021705,419.8861707775675,8.44340477606095
FTP,0,true,1998,3,0.507743103299556,0.3751119786215574,427.80111775204136,8.443521017230518
FTP,0,true,1999,0,0.5085765222260082,0.36761755449873695,435.3309024324756,8.445410875681041
FTP,0,true,1999,1,0.5099592283868131,0.3485643179163761,462.5151387086209,8.47400280118586
CTJF,1,true,1996,2,0.43381963808355,0.9107277588729856,209.5783827310318,8.441485917584963
CTJF,1,true,1996,3,0.4821283835026946,0.8887834347274087,255.01469200021128,8.44806466103047
CTJF,1,true,1997,0,0.517451927575378,0.8657590284375365,293.32174768609235,8.453729609617067
CTJF,1,true,1997,1,0.5431580872871234,0.8407864817488991,325.22671623987094,8.457082902980384
CTJF,1,true,1997,2,0.5621163796795371,0.811772446507493,357.8772867338472,8.458547611154884
CTJF,1,true,1997,3,0.5771238927135242,0.7794111628201921,391.07108024047676,8.461289939353152
CTJF,1,true,1998,0,0.5887541154132752,0.7389480589939567,425.69935666343065,8.464338047896405
CTJF,1,true,1998,1,0.5974056139900247,0.6798458470925454,462.2889955236427,8.462156667511687
CTJF,1,true,1998,2,0.6048216004718855,0.582295476514175,490.4651244943629,8.453563594601956
CTJF,1,true,1998,3,0.6081357995815674,0.5026030884253028,515.9707277557065,8.446626680930951
CTJF,1,true,1999,0,0.6095596741982864,0.43795234735473454,539.9883913361408,8.443416719168663
CTJF,1,true,1999,1,0.6094915885969837,0.3850828553680494,557.8168671023028,8.439105758330891
CTJF,1,true,1999,2,0.608404865493053,0.34159281753764964,574.3547614068594,8.433888102280102
CTJF,1,true,1999,3,0.6068573420050439,0.306390552557687,584.8440428561103,8.430511612832152
CTJF,1,true,2000,0,0.6050786628236672,0.27782024404967426,594.4545441296466,8.428583404259973
CTJF,1,true,2000,1,0.6032784591493322,0.2544141971477318,603.3905601832893,8.42632113149038
CTJF,1,true,2000,2,0.6012934332351735,0.23514727588384693,611.9688687790389,8.42323187523774
CTJF,1,true,2000,3,0.6004340668051134,0.21876067564169493,620.9976131618632,8.420376947250181
CTJF,1,true,2001,0,0.5973963714275147,0.2069126352691845,613.2200534400042,8.419533369858877
SIPP,0,true,1992,2,0.558389495192046,0.2760273054871882,573.0356314357143,8.666049148468474
SIPP,0,true,1992,3,0.5545348942729093,0.27963117123379155,555.8605790080775,8.661369169976489
SIPP,0,true,1993,0,0.5575787132813655,0.2824851528638077,584.5942102745398,8.669748668025388
SIPP,0,true,1993,3,0.5593711701053982,0.2808821954131461,610.6118945158482,8.673566574723695
SIPP,0,true,1992,1,0.5561872534833413,0.29109860003873245,586.1875657932738,8.666730183394098
SIPP,0,true,1994,3,0.5641337160747821,0.2722991313998349,658.133811206562,8.681486875493606
FTP,1,true,1994,2,0.3766742159836798,0.7822068305438363,130.33286798984358,8.430378627703627
FTP,1,true,1994,3,0.42175859783893554,0.7368209457905958,178.10277691712395,8.433659657835575
FTP,1,true,1995,0,0.4590198222710035,0.6915598249272208,221.00652398115542,8.440531225347124
FTP,1,true,1995,1,0.4840845013909259,0.6463614433276272,260.868015063032,8.44329376433734
FTP,1,true,1995,2,0.5011947470764072,0.6010772466940563,289.47387479523667,8.44355027362107
FTP,1,true,1995,3,0.5138101120308916,0.554752619002186,311.2808413685381,8.443377620298536
FTP,1,true,1996,0,0.5246494554247408,0.5044268624595818,330.0023638909781,8.444942607608315
FTP,1,true,1996,1,0.5386540185202144,0.44374184199516903,350.63214869752335,8.443152991932266
FTP,1,true,1996,2,0.5421889868835096,0.39368372194076495,366.08983279588347,8.440421173250975
FTP,1,true,1996,3,0.5447331342850762,0.3525789885977169,383.1164995449969,8.439516781207637
FTP,1,true,1997,0,0.5457754320411671,0.31884097110553505,395.2166976559393,8.438960470973932
FTP,1,true,1997,1,0.5453801219159431,0.29107592779863817,398.706024552749,8.436762794162767
FTP,1,true,1997,2,0.5452203078979648,0.26805177588453183,411.94056336264975,8.436320049668005
FTP,1,true,1997,3,0.5447755401420581,0.2490727113048612,420.84584404850494,8.435956905784757
FTP,1,true,1998,0,0.5441936653471989,0.23339412243520838,429.212221969935,8.43740940197202
FTP,1,true,1998,1,0.5435654220034214,0.22023424899103433,437.0349846155752,8.437476005442825
FTP,1,true,1998,2,0.5428256243427028,0.20904995068210913,448.4021741261438,8.437735969899244
FTP,1,true,1998,3,0.5421675482989214,0.19970554115732228,455.61562709177934,8.437732546585389
FTP,1,true,1999,0,0.5416395357819651,0.19178553965017264,462.7689979371855,8.439457661494675
MFIP,0,true,1994,2,0.3952363918600373,0.8267459891773714,198.30397016180018,8.525747377129418
MFIP,0,true,1994,3,0.4319287691504865,0.7907308388506832,258.77926071961326,8.529111673903088
MFIP,0,true,1995,0,0.4646296827129053,0.7548813804022657,311.5508777253143,8.53605259125319
MFIP,0,true,1995,1,0.48690823073834494,0.7202875130727496,356.466826806359,8.538481237343886
MFIP,0,true,1995,2,0.5040929718059698,0.6877355647864607,392.3829158477687,8.539246757006941
MFIP,0,true,1995,3,0.5178631526742423,0.6578522898524299,426.98538451874185,8.540925256857756
