source,arm,est_sample,year,Q,EMP,AFDC,EARN,LOGFULL
SIPP,0,true,1993,1,0.5996934873677103,0.2882872654073888,769.6580632462951,7.1625695242289495
SIPP,0,true,1993,2,0.6019075525401861,0.27525092695931785,779.0713061663978,7.168490574743471
SIPP,0,true,1994,0,0.6014073519904686,0.2745024410117726,786.4931141350537,7.196359207407501
SIPP,0,true,1994,1,0.6014455818123232,0.27188014959126666,793.5066847872329,7.1974604949766725
SIPP,0,true,1994,2,0.6029808291922053,0.2675436351940666,802.1891014472997,7.19501003577255
SIPP,0,true,1995,0,0.6097018996509221,0.2679943751049118,846.1850137482346,7.232338616372124
SIPP,0,true,1995,1,0.6108276279432352,0.2629420982691809,860.4529329734556,7.234851038036582
SIPP,0,true,1995,2,0.6093189100094109,0.264140834231882,860.760858005435,7.231498265636004
FTP,0,true,1994,2,0.3985439498091613,0.7235963399230367,139.82814998337642,6.935910763330144
FTP,0,true,1994,3,0.42143726771178186,0.6575808950332481,182.64517915995773,6.933361133603007
FTP,0,true,1995,0,0.4382685160521443,0.6003124236043349,216.47949588468344,6.947668644500626
FTP,0,true,1995,1,0.4501482973136653,0.5518871818966126,244.68738523948358,6.94728062240519
FTP,0,true,1995,2,0.45879715745452754,0.5115960844460228,265.4068553381136,6.943080765772243
FTP,0,true,1995,3,0.46514351562084705,0.47850256563617066,281.24993428110656,6.941074309985677
FTP,0,true,1996,0,0.47005332608833233,0.4513294791086303,294.19106083984997,6.949562524322447
FTP,0,true,1996,1,0.473594650398197,0.42902328676963997,305.80915545890196,6.947964051492215
FTP,0,true,1996,2,0.47627553215339985,0.4106184835599094,315.6889506772708,6.9433565442800065
FTP,0,true,1996,3,0.47830854300584974,0.3955485268056873,325.37748170354183,6.942577314601119
FTP,0,true,1997,0,0.47984585759475823,0.3831642105584625,332.82542531851044,6.943611726364826
FTP,0,true,1997,1,0.48095094960005585,0.37298839316241267,336.8874858383587,6.940629460851471
FTP,0,true,1997,2,0.48186449741157333,0.3645205219419531,343.95811023024993,6.939449220064731
FTP,0,true,1997,3,0.4825196816927619,0.3575203674773228,349.20675509182615,6.93925581117746
FTP,0,true,1998,0,0.4830218803942167,0.3516359440968266,354.0133183239447,6.945009280776123
FTP,0,true,1998,1,0.4833912866265208,0.3466423642452682,358.4189506096811,6.945719672132748
FTP,0,true,1998,2,0.4837135151703987,0.3422468366000968,363.86009644245416,6.945370820340466
FTP,0,true,1998,3,0.48391793609604067,0.3383914322126979,367.71339644872944,6.944342804261847
FTP,0,true,1999,0,0.4840560633140605,0.3351473603014413,371.29356927768976,6.950185899485495
FTP,0,true,1999,1,0.4871573749982644,0.32756004263000393,388.74041277549935,6.96623836579836
CTJF,1,true,1996,2,0.4362234455986701,0.8582253873929216,194.70253263501965,7.057216650562388
CTJF,1,true,1996,3,0.466375318267652,0.7869394194818812,250.1250474647464,7.0563682662510185
CTJF,1,true,1997,0,0.4882524187143282,0.720746770486723,294.91612644769657,7.053280910058061
CTJF,1,true,1997,1,0.5042123486501835,0.6598073933993277,331.3773839426947,7.044614339616935
CTJF,1,true,1997,2,0.5160659355981033,0.6033732739020752,364.0409795345861,7.034503676050576
CTJF,1,true,1997,3,0.5249371161635981,0.5498540356193559,393.4121841068181,7.025144093772793
CTJF,1,true,1998,0,0.5317256817658813,0.4970722207121301,420.81152963154494,7.020337983203615
CTJF,1,true,1998,1,0.5369999051757893,0.44252157226686123,447.14504013097354,7.007101114898546
CTJF,1,true,1998,2,0.5419413124599582,0.3818689148700196,468.65299077188456,6.983527079780015
CTJF,1,true,1998,3,0.5450341658837385,0.3376052541094879,487.6225143937349,6.967475890155555
CTJF,1,true,1999,0,0.5474492378854721,0.3050903873703698,505.06533836327196,6.965565101649964
CTJF,1,true,1999,1,0.5494118048369989,0.2806938425358896,519.3936253922733,6.959789150070416
CTJF,1,true,1999,2,0.5510514068290167,0.2619759263694395,532.6360301129733,6.952316984381304
CTJF,1,true,1999,3,0.5523902503909428,0.2474290782302119,542.9725847316173,6.949129694289296
CTJF,1,true,2000,0,0.5535141791587184,0.23582384430486114,552.4767984868422,6.950244410881408
CTJF,1,true,2000,1,0.5544984780528329,0.22633331665694123,561.2927245562423,6.948479314253064
CTJF,1,true,2000,2,0.5554605621696121,0.21832829193392445,569.8438625398417,6.9424875166177396
CTJF,1,true,2000,3,0.557470453116002,0.21170830028607746,580.9587821465599,6.937296123056455
CTJF,1,true,2001,0,0.5568245448936797,0.20573542128245104,578.6467539639812,6.947817090054389
SIPP,0,true,1992,2,0.5953349286456722,0.28385209681621293,732.3430673034408,7.141344844279656
SIPP,0,true,1992,3,0.5884849013026976,0.28034019404067745,709.1323414464327,7.137169589322138
SIPP,0,true,1993,0,0.5930809444330196,0.280727190453132,736.9346529604601,7.158802790838436
SIPP,0,true,1993,3,0.5972184524985429,0.2809096934410902,763.4835349951721,7.170364463623349
SIPP,0,true,1992,1,0.590990865135471,0.3025941979349199,734.3556285508247,7.129996298334952
SIPP,0,true,1994,3,0.5960156637659243,0.2750499767892677,789.1185708470864,7.19018589847711
FTP,1,true,1994,2,0.3966823638205475,0.7238966278578848,133.43324886116173,6.970504922945739
FTP,1,true,1994,3,0.42076972576937505,0.6302264380193394,177.4394331542378,6.961236624542082
FTP,1,true,1995,0,0.43817605897894807,0.5472648039569562,212.04159118697498,6.967255124702696
FTP,1,true,1995,1,0.45050434493683233,0.4749936784807564,240.80337829925728,6.959460230271142
FTP,1,true,1995,2,0.45942492126600876,0.41220303791484547,261.93401814354166,6.947760717957972
FTP,1,true,1995,3,0.4659329024850407,0.35735313917014305,278.0652107148557,6.937726314825639
FTP,1,true,1996,0,0.4708593243995682,0.3083663697504593,291.1501219311952,6.936933456556538
FTP,1,true,1996,1,0.4749394842807536,0.26307298627771397,303.1497365009747,6.925905092720391
FTP,1,true,1996,2,0.4775575158184322,0.23036237251175148,313.040917652465,6.9157832614095165
FTP,1,true,1996,3,0.47952549224962904,0.20669186988626784,322.7063509468079,6.911631952853291
FTP,1,true,1997,0,0.4809929573744109,0.18940626657983994,330.118359480319,6.910860470381074
FTP,1,true,1997,1,0.48205005387670524,0.17664456878088255,334.1680539639957,6.9069200808514255
FTP,1,true,1997,2,0.48290376763456194,0.16705993028341923,341.17804669137087,6.9052382675526305
FTP,1,true,1997,3,0.4835210840860804,0.15981687520733967,346.38230041304223,6.904842922115312
FTP,1,true,1998,0,0.4839751638357599,0.15422927928863847,351.1310225612888,6.91061410507189
FTP,1,true,1998,1,0.48431835139751356,0.14978484881205548,355.4916471328243,6.911326796056081
FTP,1,true,1998,2,0.4846062795189865,0.14610724868162062,360.86930626486,6.911141002722506
FTP,1,true,1998,3,0.4848017933590556,0.1431067028632199,364.7211923628864,6.910671318412866
FTP,1,true,1999,0,0.48493177141008353,0.14054425659235276,368.3842333210691,6.916722602334185
MFIP,0,true,1994,2,0.38653009785711107,0.820663192539487,189.23196476792884,6.9533333409078395
MFIP,0,true,1994,3,0.41394995079893543,0.7779177313257429,247.7517809645203,6.960464747032518
MFIP,0,true,1995,0,0.43663796509912217,0.7361416978361368,297.935401252995,6.98481159452183
MFIP,0,true,1995,1,0.45362448975105985,0.6981784931279365,340.69791921444534,6.989697061068402
MFIP,0,true,1995,2,0.4673321030825552,0.664556078319274,376.5559494522346,6.989681002029599
MFIP,0,true,1995,3,0.47872095813581234,0.6352476214807553,409.2215635825301,6.993818797071504
MFIP,0,true,1996,0,0.48869528006552865,0.6097741786459874,436.9214942775248,7.008853198582734
MFIP,0,true,1996,1,0.496707712431744,0.5879083170814026,457.6840456316095,7.009577963990555
MFIP,0,true,1996,2,0.503760071876507,0.5688072949077311,477.29338459410076,7.007727657045554
MFIP,0,true,1996,3,0.5098118017688231,0.5522124624262154,498.08004950834714,7.0100133468119585
MFIP,0,true,1997,0,0.5151762275633704,0.537666035947072,517.1545759374397,7.015646681018109
MFIP,0,true,1997,1,0.5198760488779112,0.5248932377710293,536.5739805314291,7.018095424378571
MFIP,0,true,1997,2,0.52400847183028,0.5136512822552571,552.7399377409469,7.0183867157389255
MFIP,0,true,1997,3,0.5277318310048131,0.5037362416729377,569.8343149891203,7.022272434979129
MFIP,0,true,1998,0,0.5314070810660471,0.49487516710102836,586.3938943896718,7.044640591371371
MFIP,0,true,1998,1,0.5343865701550855,0.4871489803518383,601.761179235099,7.049631446091267
MFIP,0,true,1998,2,0.5364718415808125,0.48046962295863554,614.6777248707729,7.045778678466252
MFIP,0,true,1998,3,0.5318919653559154,0.483175717401063,607.3281304879764,7.018023691086959
SIPP,0,true,1995,3,0.606494054226295,0.26806282187763314,849.1361581619195,7.228075383640452
CTJF,0,true,1996,2,0.4375611347552734,0.8320822058033622,211.18895253208456,6.919987927256612
CTJF,0,true,1996,3,0.46624087466374986,0.7836830757208719,264.929334719253,6.929000899839419
CTJF,0,true,1997,0,0.4872092657100761,0.7400738586150883,308.76829469427196,6.937311848748625
CTJF,0,true,1997,1,0.5026507960281082,0.7018379287977426,344.75940493583914,6.941893171087338
CTJF,0,true,1997,2,0.5143117560424528,0.6686052781447525,377.3982206236219,6.945606714352239
CTJF,0,true,1997,3,0.5231708250914145,0.6399628553500741,407.0077079410249,6.951743580037561
CTJF,0,true,1998,0,0.5301326459475044,0.6152333980049909,434.9184828138253,6.965542093441095
CTJF,0,true,1998,1,0.5355630862477295,0.5939617833780844,461.82943008170656,6.97366705073342
CTJF,0,true,1998,2,0.5398577791327511,0.5756665660273123,483.2749224731828,6.976949549757676
CTJF,0,true,1998,3,0.5432634148731171,0.5599922349629258,502.84348547425486,6.980112283682462
CTJF,0,true,1999,0,0.5460626487770883,0.5465543085678575,520.9201176195141,6.990426541153353
CTJF,0,true,1999,1,0.5483232350987295,0.5349617465644262,535.7651473422118,6.993585170974763
CTJF,0,true,1999,2,0.5502326555725823,0.5247700336944864,549.5099590271315,6.991682046155647
CTJF,0,true,1999,3,0.5517943953430482,0.5159847119990286,560.2338824462022,6.99286824416729
CTJF,0,true,2000,0,0.5531342717779828,0.5082353728936941,570.1132425567214,6.996351965132956
CTJF,0,true,2000,1,0.554276537691636,0.501385104020562,579.2513948762759,6.996853774060746
CTJF,0,true,2000,2,0.555547958604225,0.4945704461695608,588.7284517653089,6.991788403671785
CTJF,0,true,2000,3,0.5569231407852019,0.4900424030323402,598.2331678069219,6.990312516064416
CTJF,0,true,2001,0,0.5580973365934323,0.4838397594411573,603.5562660183148,6.996757217599944
MFIP,2,true,1994,2,0.3636632178830285,0.9122390703902018,140.93147399823138,7.038023514756208
MFIP,2,true,1994,3,0.3973333917414609,0.8596240120821493,203.72698522686576,7.0454657759328585
MFIP,2,true,1995,0,0.4230042357133947,0.810465443346118,256.30637535066484,7.067577780802107
MFIP,2,true,1995,1,0.4423631385480331,0.7670138279801412,300.7260738268604,7.072564834953453
MFIP,2,true,1995,2,0.4576021831942167,0.7293988183317196,337.6116850960375,7.072585451883834
MFIP,2,true,1995,3,0.4699048342970829,0.6972519017488461,370.59160441997017,7.076676904197448
MFIP,2,true,1996,0,0.4802333676788244,0.6698085631572424,398.2450442745292,7.090600987257078
MFIP,2,true,1996,1,0.48870558300941125,0.6465313667644701,419.2220226526576,7.091537559538163
MFIP,2,true,1996,2,0.49599492864545697,0.6264825379079908,438.71646498754325,7.088576265066817
MFIP,2,true,1996,3,0.502324873882694,0.6092070079192542,459.09721361188224,7.090949171884249
MFIP,2,true,1997,0,0.5079132932010817,0.5941713832017803,477.7132413577195,7.096025311566051
MFIP,2,true,1997,1,0.5128509669341398,0.5810377732268966,496.5644693717157,7.098503804827719
MFIP,2,true,1997,2,0.5172386821603168,0.569510000192124,512.3427465697544,7.098920526876127
MFIP,2,true,1997,3,0.5211863890123829,0.55935058741579,528.9119531349537,7.102821066655619
MFIP,2,true,1998,0,0.524926818304627,0.5502667326563302,544.8136023202433,7.122059846214837
MFIP,2,true,1998,1,0.5281427630427171,0.5422786234036037,559.7254888494319,7.127002013181417
MFIP,2,true,1998,2,0.5324938213963382,0.5315304488935528,577.7495753963607,7.126004191019726
MFIP,2,true,1998,3,0.5339057480273505,0.5204389128035481,584.7411281484663,7.111152786337998
MFIP,2,false,1994,2,0.39658291148944474,0.7834302216972925,223.21845406143967,7.275712889950791
