source,variable,year,Q,value,case,sd,q25,q75
SIPP,Emp,1994,1,0.00035722965248254594,FTP,2.4858094204384055e-5,0.00018710963784959042,0.00022050655911024896
SIPP,Emp,1994,2,0.006904368561121582,FTP,0.0003897817908842964,0.006516342915151981,0.007040015875434894
SIPP,Emp,1994,3,0.012288637296242948,FTP,0.0007601734650191293,0.011657510168748296,0.01267880541153519
SIPP,Emp,1995,0,0.016656180225085863,FTP,0.0010589002190294814,0.015819919417995525,0.017242554916399293
SIPP,Emp,1995,1,0.02017802446288837,FTP,0.0012851581703533805,0.019171525597805876,0.020898139306398802
SIPP,Emp,1995,2,0.0230375959436222,FTP,0.0014561842836029913,0.021890219464272543,0.023846607249299146
SIPP,Emp,1995,3,0.025372870532291442,FTP,0.001586656059082863,0.024106291321695467,0.026237968313393076
SIPP,Emp,1996,0,0.02783897086673122,FTP,0.0017681534889364364,0.026411827073827433,0.028787346386018084
SIPP,Emp,1996,1,0.02927474676049711,FTP,0.0018413673550010845,0.02775389929833089,0.03022778165074682
SIPP,Emp,1996,2,0.03027497880651531,FTP,0.0018783764954000367,0.028677815769780506,0.031201420009066203
SIPP,Emp,1996,3,0.031016598115474553,FTP,0.0018670546917245146,0.029374501831409088,0.03188289519480176
SIPP,AFDC,1994,1,0.008734069193532536,FTP,0.0018438488429848546,0.009519742243968744,0.011996958482648108
SIPP,AFDC,1994,2,0.012966850918698291,FTP,0.0025264696334613033,0.014265247555745379,0.017659566795281897
SIPP,AFDC,1994,3,0.01504045021272604,FTP,0.0028739159301894184,0.016734934078641,0.020596048419955267
SIPP,AFDC,1995,0,0.015403455478074828,FTP,0.0030427133677996578,0.017452953598969607,0.02154084778456799
SIPP,AFDC,1995,1,0.014913403910248669,FTP,0.0031197778911090956,0.01728953974711512,0.021480970342053422
SIPP,AFDC,1995,2,0.013527271840426439,FTP,0.0031171712724807673,0.016220201541235157,0.020408130136528153
SIPP,AFDC,1995,3,0.010505205323011657,FTP,0.0030029976107676317,0.01352048466007953,0.017555020611555037
SIPP,AFDC,1996,0,0.0007398162618484362,FTP,0.0023659427047497566,0.00402847913782055,0.0072071299856325995
SIPP,AFDC,1996,1,-0.008451002344952522,FTP,0.0017564231741184163,-0.004970674397538558,-0.002610914797139126
SIPP,AFDC,1996,2,-0.0168972528516538,FTP,0.0011980180535172337,-0.01330218346447141,-0.011692642754182116
SIPP,AFDC,1996,3,-0.024700359705422646,FTP,0.0006843180839653616,-0.021032527791114693,-0.02011314447155976
SIPP,Emp,1996,1,0.0009592026896637795,CTJF,2.094632686940876e-5,0.000742408500187402,0.0007705499507509889
SIPP,Emp,1996,2,0.008400858392360438,CTJF,0.0005319055915442725,0.007862607943684489,0.008577224640075282
SIPP,Emp,1996,3,0.014838852966268608,CTJF,0.0010059466855314076,0.013987328367007727,0.015338820640425367
SIPP,Emp,1997,0,0.019808980604382735,CTJF,0.0013442273190294631,0.018742440013649445,0.020548413293859143
SIPP,Emp,1997,1,0.024207959006729382,CTJF,0.001644709064522353,0.02290506700287036,0.025114738374815565
SIPP,Emp,1997,2,0.0278161321732229,CTJF,0.0018711762541273875,0.026314714418071147,0.02882864511243971
SIPP,Emp,1997,3,0.0307794845993373,CTJF,0.0020359734307749114,0.02910357867391496,0.03183891485042646
SIPP,Emp,1998,0,0.03325032543658445,CTJF,0.0021688557620420084,0.031425066451373634,0.03433893042320893
SIPP,Emp,1998,1,0.03588954679571321,CTJF,0.0023408413715462336,0.03389781534520514,0.03704274247945963
SIPP,Emp,1998,2,0.03732956767702271,CTJF,0.0024037343331514464,0.03523151951070525,0.03846094352027564
SIPP,Emp,1998,3,0.0382547214071069,CTJF,0.002393621467778858,0.03609949318670463,0.039315330532478876
SIPP,AFDC,1996,1,0.02292389335370778,CTJF,0.0026336420621912477,0.02340720704864247,0.026945512755290228
SIPP,AFDC,1996,2,0.03705363563750461,CTJF,0.0035777611122807104,0.037598085432832384,0.0424048178063549
SIPP,AFDC,1996,3,0.04551803483561916,CTJF,0.0040542906986051255,0.046025362977758805,0.051472314224940745
SIPP,AFDC,1997,0,0.04807679088333792,CTJF,0.004236229046212464,0.048563640655817135,0.05425502659776602
SIPP,AFDC,1997,1,0.04905607751297098,CTJF,0.004357690844911222,0.04955721659268693,0.05541178681151432
SIPP,AFDC,1997,2,0.048657779852080245,CTJF,0.004339080668439333,0.04928137119282086,0.05511093858588179
SIPP,AFDC,1997,3,0.04685705330199104,CTJF,0.004322237496846829,0.04754759511150459,0.05335453365495099
SIPP,AFDC,1998,0,0.042296622424945335,CTJF,0.004230972050913094,0.0432004206733335,0.048884743826935174
SIPP,AFDC,1998,1,0.02143626992796127,CTJF,0.0028679488045501083,0.022816255849744112,0.026669353340551257
SIPP,AFDC,1998,2,0.0013177752097447057,CTJF,0.0015813375555116377,0.0030922330104656767,0.005216764577275429
SIPP,AFDC,1998,3,-0.017162843232126457,CTJF,0.00028409531873061915,-0.01502254246657269,-0.01464085958645492
SIPP,Emp,1994,1,0.0007011594019903863,MFIP,1.578146389077986e-7,0.0005073890631264057,0.0005076010875489559
SIPP,Emp,1994,2,0.008041570210549303,MFIP,0.0005002575770842284,0.007552125108696083,0.008224222606378883
SIPP,Emp,1994,3,0.014322955662904166,MFIP,0.0009604898977130692,0.013544419142114007,0.014834840089988768
SIPP,Emp,1995,0,0.019495830577307614,MFIP,0.0013302496853094027,0.018473295512708928,0.02026048980170067
SIPP,Emp,1995,1,0.02372029905145259,MFIP,0.0016130941749987336,0.022485720645906305,0.024652917322591138
SIPP,Emp,1995,2,0.027165074871508467,MFIP,0.001822396184485153,0.02575429301750522,0.02820268754761531
SIPP,Emp,1995,3,0.02997519103695784,MFIP,0.001975972145361608,0.028416268108041022,0.03107099238454078
SIPP,Emp,1996,0,0.03228020782821923,MFIP,0.0020909416393151744,0.030593949689782324,0.03340313581300997
SIPP,Emp,1996,1,0.03416216155669684,MFIP,0.0021720419847962888,0.03236645586614993,0.03528460053744549
