source,arm,est_sample,year,Q,J,E,E1,E2,E3,E4,W,case,yQ
SIPP,0,true,1993,1,0.6262701010788658,3.3969715193438623,0.3737298989211337,0.012935110286965508,0.08417054404252329,0.529164446749377,1.0,ex-post,1
SIPP,0,true,1993,2,0.6317940464013997,3.389606285536055,0.3682059535986006,0.010108185190148382,0.08605677458966686,0.5356290866215845,1.0,ex-post,2
SIPP,0,true,1994,0,0.6561612960499532,3.3891679189997963,0.343838703950047,0.013081916520314893,0.08329394298719281,0.5597854365424451,1.0,ex-post,4
SIPP,0,true,1994,1,0.6668110716042778,3.412443779559692,0.3331889283957223,0.018018365524698387,0.08555929313037196,0.5632334129492075,1.0,ex-post,5
SIPP,0,true,1994,2,0.6795397515635956,3.4204025506318096,0.32046024843640364,0.017427393810520286,0.09733874924546887,0.5647736085076075,1.0,ex-post,6
SIPP,0,true,1995,0,0.6925420894878855,3.4180815217642833,0.30745791051211446,0.014369072984898265,0.08036972120822185,0.5978032952947652,1.0,ex-post,8
SIPP,0,true,1995,1,0.6979912241211643,3.4177660598885957,0.3020087758788361,0.018309138592293488,0.09296891984718741,0.5867131656816837,1.0,ex-post,9
SIPP,0,true,1995,2,0.6903553480451182,3.44142745580156,0.30964465195488133,0.005825544981468379,0.08893376458400674,0.5955960384796435,1.0,ex-post,10
FTP,0,true,1994,2,0.47975525462833296,2.6052965455442285,0.5202447453716672,0.17932672893259022,0.19417421898801407,0.10625430670772833,1.0,ex-post,6
FTP,0,true,1994,3,0.49334851753302883,2.692784010461766,0.5066514824669712,0.13561941881208978,0.21529894847195455,0.1424301502489843,1.0,ex-post,7
FTP,0,true,1995,0,0.5083138881727006,2.7723598109502596,0.4916861118272992,0.10796189409848021,0.22079168194546878,0.17956031212875131,1.0,ex-post,8
FTP,0,true,1995,1,0.5068372719751397,2.8248040403162946,0.4931627280248602,0.09065140164913432,0.21106566113250327,0.20512020919350227,1.0,ex-post,9
FTP,0,true,1995,2,0.4905671354425964,2.8640143607575195,0.5094328645574037,0.0791221023500503,0.19405616352628371,0.21738886956626194,1.0,ex-post,10
FTP,0,true,1995,3,0.5068736961255701,2.879927816684821,0.49312630387442996,0.07975959450087579,0.19384156339069297,0.2332725382340015,1.0,ex-post,11
FTP,0,true,1996,0,0.5148048089859687,2.9175015940101896,0.4851951910140314,0.06993736740947527,0.1933834363620709,0.2514840052144224,1.0,ex-post,12
FTP,0,true,1996,1,0.54654089170737,2.9691417745439614,0.45345910829263025,0.07069588449733293,0.18224890311378095,0.2935961040962562,1.0,ex-post,13
FTP,0,true,1996,2,0.5453312132539185,2.974241272203484,0.45466878674608113,0.07412015103873729,0.16745971744911023,0.3037513447660713,1.0,ex-post,14
FTP,0,true,1996,3,0.5498464232547222,2.9934200929887993,0.45015357674527784,0.0710429545687189,0.1615989270432139,0.3172045416427896,1.0,ex-post,15
FTP,0,true,1997,0,0.5546703641426092,2.9975034926545066,0.44532963585739094,0.07999718262676157,0.160086375510656,0.31458680600519157,1.0,ex-post,16
FTP,0,true,1997,1,0.567705362350289,3.0218389372619496,0.432294637649711,0.07112504936186351,0.16383377492417328,0.3327465380642524,1.0,ex-post,17
FTP,0,true,1997,2,0.5719029766732977,3.03865854829291,0.4280970233267022,0.06762690413781675,0.1592259157583277,0.34505015677715345,1.0,ex-post,18
FTP,0,true,1997,3,0.5819066161976869,3.0596987419870407,0.4180933838023127,0.061179106509129826,0.1637736756772125,0.3569538340113453,1.0,ex-post,19
FTP,0,true,1998,0,0.5888665698652745,3.0949818227727732,0.4111334301347255,0.053196986068038306,0.1653291007035113,0.37034048309372536,1.0,ex-post,20
FTP,0,true,1998,1,0.5841804121866735,3.0996017377143663,0.41581958781332634,0.05368221166382061,0.14855903593982672,0.3819391645830261,1.0,ex-post,21
FTP,0,true,1998,2,0.6062778965670883,3.117240075348138,0.393722103432912,0.05732352532128029,0.1479224799433154,0.4010318913024928,1.0,ex-post,22
FTP,0,true,1998,3,0.6109448049042041,3.150451822837793,0.38905519509579606,0.043553315827472266,0.14806532875044068,0.41932616032629083,1.0,ex-post,23
FTP,0,true,1999,0,0.6115431356657766,3.1922505809892465,0.3884568643342232,0.03948582201046081,0.13434600643825093,0.43771130721706514,1.0,ex-post,24
FTP,0,true,1999,1,0.5956966942531996,3.185026975807671,0.4043033057468002,0.043295662305269114,0.13718057594267627,0.4152204560052546,1.0,ex-post,25
CTJF,1,true,1996,2,0.4974068838080227,2.6131044443526124,0.5025931161919774,0.1481474501280291,0.22966672721624687,0.11959270646374694,1.0,ex-post,14
CTJF,1,true,1996,3,0.554137996749525,2.6994779266688247,0.445862003250475,0.12936676852706014,0.26125797458992583,0.16351325363253896,1.9313432835820896,ex-post,15
CTJF,1,true,1997,0,0.5860063651531738,2.7829831363674287,0.4139936348468262,0.12068293914570342,0.26049950406791716,0.20482392193955307,2.8776119402985074,ex-post,16
CTJF,1,true,1997,1,0.6196624936829558,2.8699075393756304,0.38033750631704344,0.11008263978365812,0.26050925241070877,0.24907060148858884,3.7955223880597013,ex-post,17
CTJF,1,true,1997,2,0.6508186363882751,2.956820706054752,0.34918136361172497,0.09479161009532147,0.2604777663455364,0.2955492599474173,4.6895522388059705,ex-post,18
CTJF,1,true,1997,3,0.6602503639849224,3.011322507004143,0.3397496360150771,0.08928206419696891,0.2431682170081619,0.3278000827797918,5.546268656716418,ex-post,19
CTJF,1,true,1998,0,0.6571023346964415,3.058230672115033,0.34289766530355836,0.08021597776077159,0.22113155894162034,0.3557547979940491,6.382089552238806,ex-post,20
CTJF,1,true,1998,1,0.6664202639088973,3.093265145067883,0.3335797360911032,0.08218015100070154,0.2064747866163788,0.37776532629181653,7.195522388059701,ex-post,21
CTJF,1,true,1998,2,0.6982952012845361,3.1413556361611574,0.30170479871546413,0.07438986982510337,0.20643274742749215,0.41747258403194026,7.977611940298507,ex-post,22
CTJF,1,true,1998,3,0.695042733323955,3.1746358324421298,0.30495726667604417,0.06379056979499168,0.19938909895764972,0.43186306457131374,8.065671641791045,ex-post,23
CTJF,1,true,1999,0,0.6853389377008476,3.187056654390653,0.31466106229915186,0.060801551764734084,0.1835331278008471,0.4410042581352666,8.11044776119403,ex-post,24
CTJF,1,true,1999,1,0.7033029438242568,3.20872042509495,0.29669705617574277,0.06073382732578409,0.1823058909153157,0.4602632255831574,8.146268656716417,ex-post,25
CTJF,1,true,1999,2,0.7137761077067544,3.2360539933480044,0.2862238922932458,0.0648163462590899,0.17248006143016978,0.4764797000174949,8.171641791044776,ex-post,26
CTJF,1,true,1999,3,0.7157506911489835,3.253292613089916,0.28424930885101657,0.057948058043081264,0.16801885645064488,0.48978377665525696,8.191044776119403,ex-post,27
CTJF,1,true,2000,0,0.720222720779203,3.271421411789652,0.27977727922079687,0.05013785442709459,0.17105507943586765,0.49902978691624056,8.205970149253732,ex-post,28
CTJF,1,true,2000,1,0.7133105116173236,3.2853652945688805,0.2866894883826765,0.04468246890250179,0.16316646415602193,0.5054615785588,8.214925373134328,ex-post,29
CTJF,1,true,2000,2,0.713880249114389,3.2928482379322888,0.286119750885611,0.0463823326010743,0.1583553550875626,0.5091425614257525,8.216216216216216,ex-post,30
CTJF,1,true,2000,3,0.7172513840724023,3.303575768626976,0.2827486159275977,0.05249617634718026,0.14503373772347952,0.5197214700017428,8.217021276595744,ex-post,31
CTJF,1,true,2001,0,0.7256490606800925,3.3485395236252753,0.27435093931990745,0.06541253874516355,0.12222211039012612,0.5380144115448032,8.235849056603774,ex-post,32
SIPP,0,true,1992,2,0.6089353688872257,3.361099121927615,0.39106463111277406,0.010030089912067518,0.07859536632096183,0.5203099126541963,1.0,ex-post,-2
SIPP,0,true,1992,3,0.6607703043507651,3.397055247829899,0.3392296956492348,0.011587957504508008,0.0986994788523668,0.55048286799389,1.0,ex-post,-1
SIPP,0,true,1993,0,0.6176499094620784,3.351655552524587,0.3823500905379215,0.01193703422703427,0.09011470294686232,0.5155981722881817,1.0,ex-post,0
SIPP,0,true,1993,3,0.6784233310652051,3.422815096581559,0.3215766689347943,0.007010945561601179,0.09719852815145791,0.5742138573521468,1.0,ex-post,3
SIPP,0,true,1992,1,0.6038896350566629,3.432419461391556,0.39611036494333707,0.013343537036692584,0.0708701968043209,0.5196759012156498,1.0,ex-post,-3
SIPP,0,true,1994,3,0.6866149374935588,3.421985014838281,0.31338506250644144,0.016954589068202193,0.08296451150961835,0.5866958369157379,1.0,ex-post,7
FTP,1,true,1994,2,0.43647728542479874,2.60451925670139,0.5635227145752016,0.13838611773682893,0.1838129417217111,0.11427822596625858,1.0,ex-post,6
FTP,1,true,1994,3,0.4720819865519991,2.706574982211627,0.5279180134480009,0.1086541360247421,0.21192646854008218,0.15150138198717486,1.8265682656826567,ex-post,7
FTP,1,true,1995,0,0.5122948828271804,2.8092655828575235,0.48770511717281956,0.07976415967885518,0.2322901482324103,0.20024057491591502,2.643911439114391,ex-post,8
FTP,1,true,1995,1,0.5367498563921429,2.8674535264199092,0.46325014360785716,0.08169233513216288,0.22191185635151142,0.23314566490846877,3.396678966789668,ex-post,9
FTP,1,true,1995,2,0.5538166802347009,2.918379035167389,0.4461833197652991,0.0806417481698936,0.21617887354925808,0.25699605851554913,4.07380073800738,ex-post,10
FTP,1,true,1995,3,0.5717132740392432,2.9655115944432398,0.42828672596075656,0.07039754205682237,0.2145052935978064,0.28681043838461456,4.68450184501845,ex-post,11
FTP,1,true,1996,0,0.6158210484579808,3.009019098554522,0.3841789515420194,0.08049217751545569,0.21875045684155495,0.3165784141009701,5.2380073800738005,ex-post,12
FTP,1,true,1996,1,0.6243708397369638,3.0544695371105814,0.375629160263036,0.0704658399439064,0.21430927770337774,0.3395957220896799,5.752767527675276,ex-post,13
FTP,1,true,1996,2,0.6541056674098894,3.0992309892519168,0.3458943325901099,0.06320120122208092,0.2149320273030969,0.37597243888471227,5.870848708487085,ex-post,14
FTP,1,true,1996,3,0.6484373858699665,3.120497371835185,0.3515626141300335,0.06341651229573272,0.19461680449273047,0.3904040690815034,5.946494464944649,ex-post,15
FTP,1,true,1997,0,0.6206467491135396,3.1349382007992057,0.3793532508864603,0.057297770403231474,0.16822320067381502,0.3951257780364932,6.011070110701107,ex-post,16
FTP,1,true,1997,1,0.6285908137763856,3.142847940330113,0.37140918622361435,0.06244445109097555,0.1527921515053872,0.4133542111800226,6.062730627306273,ex-post,17
FTP,1,true,1997,2,0.6367599237616721,3.157204262002958,0.36324007623832805,0.06178969567564062,0.1497374830823014,0.4252327450037295,6.108856088560886,ex-post,18
FTP,1,true,1997,3,0.6223302901873442,3.172502218543966,0.37766970981265596,0.0604148072305919,0.1342286015174783,0.42768688143927386,6.130996309963099,ex-post,19
FTP,1,true,1998,0,0.6002403620497386,3.1597990513281555,0.39975963795026065,0.05028706300238002,0.12349544809262014,0.4264578509547391,6.1531365313653135,ex-post,20
FTP,1,true,1998,1,0.6078507352385973,3.158457377732748,0.39214926476140266,0.05215873719091059,0.11635607497132038,0.4393359230763667,6.171586715867159,ex-post,21
FTP,1,true,1998,2,0.6093903880371176,3.1814328812978263,0.390609611962882,0.0435399973055061,0.11600613258755994,0.449844258144052,6.193726937269373,ex-post,22
FTP,1,true,1998,3,0.5884087282161922,3.170753724212032,0.41159127178380817,0.04338421120873984,0.11642664302764538,0.4285978739798066,6.207024029574861,ex-post,23
FTP,1,true,1999,0,0.5866318823376201,3.145945238556111,0.41336811766238035,0.05124192522750378,0.1146003418204914,0.4207896152896246,6.227777777777778,ex-post,24
MFIP,0,true,1994,2,0.4610922919063609,2.613363570113786,0.5389077080936392,0.1532445575282349,0.21720851327614143,0.09063922110198469,1.0,ex-post,6
MFIP,0,true,1994,3,0.4655594740551349,2.7081013501596916,0.5344405259448652,0.11494315511836205,0.20603194420037524,0.14458437473639743,1.0,ex-post,7
MFIP,0,true,1995,0,0.45262274303025957,2.7727903399560767,0.5473772569697402,0.08210348626358478,0.18490997532850809,0.185609281438167,1.0,ex-post,8
MFIP,0,true,1995,1,0.4556753060052528,2.8367043595522827,0.5443246939947471,0.06701059436391685,0.17324769345404226,0.21541701818729386,1.0,ex-post,9
MFIP,0,true,1995,2,0.49184721982248614,2.8721869017854584,0.5081527801775139,0.07503087855277824,0.1696449447859792,0.24717139648372838,1.0,ex-post,10
MFIP,0,true,1995,3,0.5141712627396982,2.910680441321869,0.4858287372603018,0.07663805253204058,0.16344069131755085,0.27409251889010666,1.0,ex-post,11
MFIP,0,true,1996,0,0.5439043967206327,2.9753843310414436,0.45609560327936727,0.07536395532697432,0.15182464634500117,0.31671579504865777,1.0,ex-post,12
MFIP,0,true,1996,1,0.5642397380817269,3.0345609656760897,0.4357602619182731,0.06574056704429697,0.15004189687578307,0.3484572741616468,1.0,ex-post,13
MFIP,0,true,1996,2,0.5791802883453883,3.0955891681116805,0.4208197116546115,0.050376317450348304,0.1455500395204031,0.38325393137463687,1.0,ex-post,14
MFIP,0,true,1996,3,0.5851108696604765,3.1371361817718686,0.41488913033952357,0.04072413173704598,0.13726368080106846,0.4071230571223617,1.0,ex-post,15
MFIP,0,true,1997,0,0.5951546224105967,3.150701032091864,0.40484537758940353,0.04197190800431669,0.13089474853082675,0.4222879658754536,1.0,ex-post,16
MFIP,0,true,1997,1,0.5976849908615584,3.170387320494444,0.40231500913844154,0.039156808262457335,0.1294037849227503,0.4291243976763504,1.0,ex-post,17
MFIP,0,true,1997,2,0.6333458734268292,3.18389817874567,0.36665412657317115,0.05329153661799548,0.12933298127589676,0.4507213555329364,1.0,ex-post,18
MFIP,0,true,1997,3,0.6617233452006758,3.241362638642999,0.3382766547993245,0.054566932799561076,0.11943216476933295,0.48772424763178135,1.0,ex-post,19
MFIP,0,true,1998,0,0.6913897474615079,3.2821719661627253,0.3086102525384918,0.05592909222103407,0.11409415889894878,0.5213664963415252,1.0,ex-post,20
MFIP,0,true,1998,1,0.6815122500883235,3.312790971390693,0.3184877499116761,0.049626429087954275,0.10556755984274115,0.5263182611576281,1.0,ex-post,21
MFIP,0,true,1998,2,0.680771642137405,3.318640893579528,0.3192283578625952,0.05059698170554236,0.10710345465721414,0.5230712057746483,1.0,ex-post,22
MFIP,0,true,1998,3,0.666961888528537,3.2980464766688593,0.33303811147146306,0.05688292851871016,0.10070764727280608,0.5093713127370209,1.0,ex-post,23
SIPP,0,true,1995,3,0.7143427716355641,3.4447338171190918,0.285657228364436,0.008747479113155104,0.08572904762158909,0.6198662449008199,1.0,ex-post,11
CTJF,0,true,1996,2,0.520589429766626,2.7189701340671486,0.4794105702333737,0.14414337707076538,0.23651354680607375,0.1399325058897868,1.0,ex-post,14
CTJF,0,true,1996,3,0.5290230273404122,2.781652309244742,0.4709769726595879,0.11431942630592343,0.22838007132233648,0.18632352971215208,1.0,ex-post,15
CTJF,0,true,1997,0,0.5328509702187338,2.8325405019823537,0.4671490297812662,0.10357278104996574,0.21205439534859422,0.2172237938201736,1.0,ex-post,16
CTJF,0,true,1997,1,0.5451305106916823,2.8876410920498663,0.4548694893083182,0.08921275996993797,0.20586197406815465,0.25005577665358963,1.0,ex-post,17
